1boy 1 человек
2boy 2 человека
3boy 3 человека
4boy 4 человека
5boy 5 человек
6+boy 6 и более человек
6boy 6 человек
accordion аккордион
wave волна
way способ
weapon оружие
wear носить
web веб
wedding свадьба
weld сварка
wetsuit гидрокостюм
wheat пшеница
wheel колесо
wife жена
wind ветер
window окно
windshield ветровое стекло
wine вино
wing крыло
winter зима
wire проволока
woman женщина
wood древесина
word слово
work работа
worker работник
world мир
wrap сворачивать
wrestler борец
wrestling борьба
wrist запястье
wristwatch наручные часы
write писать
writing письмо
yard площадка
